country_code,region_code,name_slug,name,name_normalized,osm_relation_id,wikidata_id,is_capital,lon,lat
br,rn,sao-jose-do-serido,São José do Seridó,Sao Jose do Serido,301155,Q945450,,-36.88325889,-6.448798535
br,rn,sao-miguel,São Miguel,Sao Miguel,301178,Q2090942,,-38.49634397,-6.212342919
br,rn,sao-miguel-do-gostoso,São Miguel do Gostoso,Sao Miguel do Gostoso,301200,Q988901,,-35.64128351,-5.122857116
br,rn,sao-paulo-do-potengi,São Paulo do Potengi,Sao Paulo do Potengi,301120,Q1802399,,-35.76436964,-5.899820334
br,rn,sao-pedro,São Pedro,Sao Pedro,301098,Q2068898,,-35.64031103,-5.897980283
br,rn,sao-rafael,São Rafael,Sao Rafael,301162,Q1812846,,-36.89039756,-5.800934227
br,rn,sao-tome,São Tomé,Sao Tome,301223,Q2016592,,-36.07366315,-5.973022347
br,rn,sao-vicente,São Vicente,Sao Vicente,301187,Q2021824,,-36.68866185,-6.214963878
br,rn,senador-eloi-de-souza,Senador Elói de Souza,Senador Eloi de Souza,301211,Q1786778,,-35.69566378,-6.036226429
br,rn,senador-georgino-avelino,Senador Georgino Avelino,Senador Georgino Avelino,301072,Q428496,,-35.12417623,-6.158694334
br,rn,serra-de-sao-bento,Serra de São Bento,Serra de Sao Bento,301154,Q1802353,,-35.70348982,-6.415366992
br,rn,serra-do-mel,Serra do Mel,Serra do Mel,301183,Q679650,,-37.04130135,-5.165241348
br,rn,serra-negra-do-norte,Serra Negra do Norte,Serra Negra do Norte,301222,Q1786695,,-37.39497301,-6.663984336
br,rn,serrinha,Serrinha,Serrinha,301170,Q589586,,-35.50134323,-6.277091526
br,rn,serrinha-dos-pintos,Serrinha dos Pintos,Serrinha dos Pintos,301208,Q1802272,,-37.96157905,-6.11412937
br,rn,severiano-melo,Severiano Melo,Severiano Melo,301203,Q1802204,,-37.95658071,-5.778187765
br,rn,sitio-novo,Sítio Novo,Sitio Novo,301067,Q1125401,,-35.91044918,-6.104091583
br,rn,taboleiro-grande,Taboleiro Grande,Taboleiro Grande,301182,Q1802579,,-38.04356754,-5.926752292
br,rn,taipu,Taipu,Taipu,301169,Q1802310,,-35.59884656,-5.619666675
br,rn,tangara,Tangará,Tangara,301196,Q2011631,,-35.8001896,-6.197357368
br,rn,tenente-ananias,Tenente Ananias,Tenente Ananias,301168,Q1802650,,-38.17929789,-6.477543712
br,rn,tenente-laurentino-cruz,Tenente Laurentino Cruz,Tenente Laurentino Cruz,301191,Q1786757,,-36.72066014,-6.14723016
br,rn,tibau-do-sul,Tibau do Sul,Tibau do Sul,301137,Q1759083,,-35.09260037,-6.188071759
br,rn,timbauba-dos-batistas,Timbaúba dos Batistas,Timbauba dos Batistas,301215,Q1786689,,-37.27133991,-6.463289263
br,rn,touros,Touros,Touros,301161,Q1797006,,-35.45529317,-5.202606801
br,rn,triunfo-potiguar,Triunfo Potiguar,Triunfo Potiguar,301126,Q1802221,,-37.18379685,-5.866959019
br,rn,umarizal,Umarizal,Umarizal,301143,Q1802407,,-37.81325849,-5.98990198
br,rn,upanema,Upanema,Upanema,301214,Q1786764,,-37.26014694,-5.641797659
br,rn,varzea,Várzea,Varzea,301090,Q600510,,-35.37479066,-6.348799891
br,rn,venha-ver,Venha-Ver,Venha-Ver,301133,Q1802298,,-38.49123017,-6.319422837
br,rn,vera-cruz,Vera Cruz,Vera Cruz,301181,Q586682,,-35.42810953,-6.045608482
br,rn,vicosa,Viçosa,Vicosa,301066,Q2309735,,-37.94740902,-5.991857175
br,rn,vila-flor,Vila Flor,Vila Flor,301166,Q1920821,,-35.0761275,-6.312791871
br,pb,agua-branca,Água Branca,Agua Branca,301429,Q1847056,,-37.64220904,-7.511070151
br,pb,aguiar,Aguiar,Aguiar,301434,Q1998462,,-38.17758184,-7.094805763
br,pb,alagoa-grande,Alagoa Grande,Alagoa Grande,301311,Q1998976,,-35.63389198,-7.036775
br,pb,alagoa-nova,Alagoa Nova,Alagoa Nova,301447,Q1816238,,-35.75945654,-7.057798825
br,pb,alagoinha,Alagoinha,Alagoinha,301306,Q2065239,,-35.54549135,-6.948140405
br,pb,alcantil,Alcantil,Alcantil,301330,Q1816058,,-36.06060433,-7.741477038
br,pb,algodao-de-jandaira,Algodão de Jandaíra,Algodao de Jandaira,301430,Q1759357,,-36.0060934,-6.904694038
br,pb,alhandra,Alhandra,Alhandra,301323,Q385529,,-34.91198516,-7.432995302
br,pb,sao-joao-do-rio-do-peixe,São João do Rio do Peixe,Sao Joao do Rio do Peixe,301348,Q728790,,-38.44545357,-6.734430828
br,pb,amparo,Amparo,Amparo,301265,Q2010915,,-37.06477525,-7.567211522
br,pb,aparecida,Aparecida,Aparecida,301271,Q2077855,,-38.08333825,-6.783695142
br,pb,aracagi,Araçagi,Aracagi,301364,Q374669,,-35.38329909,-6.851696618
